type,id,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,len,first_word,data
CSI_DATA,393120,24:0b:2a:96:72:01,-50,11,1,7,0,1,1,0,1,0,0,-96,0,6,0,-147045257,0,83,0,128,1,"[83,-80,4,0,13,-24,14,-27,15,-28,16,-27,17,-26,17,-24,16,-23,15,-21,13,-20,10,-19,8,-18,5,-18,3,-18,2,-19,1,-20,1,-20,1,-21,1,-21,1,-21,2,-20,2,-18,2,-17,1,-16,1,-15,1,-15,0,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-1,18,-2,19,-1,19,2,19,4,18,6,17,7,15,6,13,5,11,3,10,0,11,-4,13,-8,16,-10,19,-12,22,-13,25,-13,28,-12,30,-10,30,-8,29,-7,27,-6,25,-6,22,-6,19,-8,16,-11,14,-14]"
CSI_DATA,393121,24:0b:2a:96:72:01,-50,11,1,7,0,1,1,0,1,0,0,-96,0,6,0,-147034018,0,83,0,128,1,"[83,-80,4,0,-24,-21,-26,-23,-27,-24,-27,-26,-26,-26,-24,-25,-22,-24,-20,-23,-18,-20,-18,-17,-18,-14,-18,-11,-19,-8,-20,-7,-21,-5,-22,-5,-23,-4,-23,-5,-22,-5,-22,-6,-21,-6,-19,-5,-18,-5,-17,-5,-16,-5,-4,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-5,6,-20,8,-20,11,-20,13,-19,14,-17,15,-15,13,-13,11,-11,8,-11,4,-11,0,-13,-3,-16,-5,-21,-6,-25,-6,-30,-5,-33,-3,-36,-1,-37,1,-37,2,-35,3,-33,3,-30,1,-27,-2,-24,-6,-21,-9,-20]"
CSI_DATA,393122,24:0b:2a:96:72:01,-50,11,1,7,0,1,1,0,1,0,0,-96,0,6,0,-147025022,0,83,0,128,1,"[83,-80,4,0,30,10,32,10,33,12,33,13,32,14,30,14,28,13,26,12,23,10,22,8,21,6,21,3,20,0,21,-2,22,-3,22,-3,23,-4,23,-3,22,-3,21,-2,20,-2,19,-1,17,-1,16,-1,16,-2,4,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,5,19,3,21,0,22,-2,22,-4,22,-5,20,-5,18,-4,15,-2,13,2,12,6,12,10,13,14,16,17,19,18,23,18,26,18,29,17,32,15,32,13,32,11,30,11,27,11,23,12,20,14,16,17,14]"
CSI_DATA,393504,24:0b:2a:96:72:01,-50,11,1,7,0,1,1,0,1,0,0,-96,0,6,0,-143239971,0,83,0,128,1,"[83,-80,4,0,-25,14,-27,15,-28,15,-28,14,-28,13,-27,12,-25,12,-24,11,-21,11,-19,11,-18,11,-16,13,-15,14,-15,15,-15,16,-15,16,-15,16,-15,15,-15,14,-14,13,-14,12,-13,11,-12,10,-11,10,-11,10,-3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,-1,-17,-2,-18,-4,-18,-6,-18,-9,-17,-10,-15,-10,-14,-10,-12,-8,-12,-6,-12,-4,-13,-1,-16,2,-19,3,-22,3,-25,3,-28,2,-30,0,-31,-1,-31,-3,-30,-4,-28,-4,-26,-3,-25,-2,-23,0,-22,3,-22,6]"
CSI_DATA,393505,24:0b:2a:96:72:01,-50,11,1,7,0,1,1,0,1,0,0,-96,0,6,0,-143232185,0,83,0,128,1,"[83,-80,4,0,-29,-5,-31,-5,-32,-6,-32,-7,-31,-7,-30,-8,-29,-8,-27,-7,-25,-6,-23,-5,-22,-4,-22,-2,-22,0,-22,1,-22,2,-22,2,-22,2,-22,2,-21,1,-20,1,-20,0,-18,0,-17,0,-17,0,-16,0,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,-3,-12,-12,-12,-14,-11,-16,-10,-18,-8,-19,-6,-18,-5,-17,-5,-15,-5,-13,-7,-11,-10,-9,-13,-9,-16,-10,-20,-11,-22,-13,-24,-16,-24,-19,-24,-21,-23,-22,-22,-23,-21,-22,-19,-21,-18,-19,-18,-16,-19,-13,-21,-11]"
CSI_DATA,393506,24:0b:2a:96:72:01,-50,11,1,7,0,1,1,0,1,0,0,-96,0,6,0,-143223064,0,83,0,128,1,"[83,-80,4,0,-23,17,-24,18,-25,19,-26,19,-26,18,-25,17,-25,16,-23,15,-21,14,-19,14,-17,14,-16,15,-14,16,-13,17,-13,17,-13,17,-13,17,-13,17,-13,16,-13,15,-12,14,-11,13,-11,13,-11,12,-10,12,-3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,0,-17,1,-18,-1,-19,-4,-19,-6,-19,-8,-18,-9,-16,-9,-14,-7,-13,-6,-13,-3,-13,0,-15,3,-18,5,-21,6,-24,7,-27,6,-30,5,-32,4,-32,2,-31,0,-30,0,-28,0,-26,1,-24,2,-23,5,-22,8]"
CSI_DATA,393507,24:0b:2a:96:72:01,-50,11,1,7,0,1,1,0,1,0,0,-96,0,6,0,-143215825,0,83,0,128,1,"[83,-80,4,0,-30,-13,-32,-13,-33,-14,-33,-15,-32,-16,-31,-16,-29,-15,-27,-14,-25,-13,-24,-11,-23,-9,-23,-6,-24,-4,-24,-3,-25,-3,-25,-3,-25,-3,-24,-3,-24,-4,-23,-4,-22,-4,-20,-4,-19,-4,-18,-3,-18,-3,-5,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,-4,-10,-16,-9,-18,-8,-21,-6,-22,-3,-22,-2,-21,-1,-19,-1,-17,-2,-15,-5,-13,-8,-12,-12,-13,-16,-15,-19,-17,-21,-20,-22,-23,-22,-27,-21,-29,-19,-30,-18,-30,-16,-29,-15,-27,-15,-24,-16,-22,-18,-18,-20,-16]"
CSI_DATA,393508,24:0b:2a:96:72:01,-50,11,1,7,0,1,1,0,1,0,0,-96,0,6,0,-143204747,0,83,0,128,1,"[83,-80,4,0,17,-23,18,-24,19,-25,20,-25,20,-24,19,-23,19,-22,17,-21,16,-19,14,-18,12,-18,10,-19,9,-19,8,-20,7,-21,7,-20,7,-21,7,-21,8,-20,8,-19,7,-18,7,-16,6,-15,6,-15,6,-15,1,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-2,15,-6,17,-4,18,-2,19,0,19,2,18,3,16,3,14,3,13,1,12,-1,12,-4,13,-7,15,-10,18,-12,21,-13,24,-14,27,-13,29,-12,29,-10,29,-9,28,-8,26,-7,24,-8,21,-9,19,-11,18,-14]"
CSI_DATA,393509,24:0b:2a:96:72:01,-50,11,1,7,0,1,1,0,1,0,0,-96,0,6,0,-143193293,0,83,0,128,1,"[83,-80,4,0,-27,9,-28,10,-30,11,-31,10,-31,9,-29,8,-28,8,-26,7,-24,7,-23,7,-21,8,-20,9,-19,10,-18,12,-18,12,-17,12,-17,13,-18,12,-17,12,-17,11,-16,10,-15,9,-15,9,-14,8,-14,8,-4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,-1,-17,-4,-17,-6,-17,-9,-17,-11,-16,-13,-14,-13,-13,-13,-11,-11,-11,-9,-11,-6,-13,-4,-15,-1,-18,0,-22,0,-25,-1,-28,-2,-30,-4,-31,-6,-31,-8,-30,-9,-29,-9,-27,-9,-25,-7,-24,-5,-23,-2,-23,1]"
CSI_DATA,393510,24:0b:2a:96:72:01,-50,11,1,7,0,1,1,0,1,0,1,-96,0,6,0,-143183468,0,83,0,128,1,"[83,-80,4,0,26,9,28,9,29,10,29,10,29,11,28,11,26,11,25,10,23,9,21,7,21,5,21,4,20,2,20,1,21,0,21,0,21,0,21,0,20,0,19,0,18,1,17,1,16,1,16,0,15,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,9,13,8,15,7,17,5,18,3,19,2,18,1,16,1,15,2,13,4,11,6,10,10,10,13,11,16,13,18,16,19,19,20,21,19,24,18,25,17,25,16,24,15,23,14,20,14,18,16,15,18,13]"
